Tom,Aaron,5,3,0,0,,,155,,,1978-07-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny,Abbadi,4,6,0,0,The Assassin,71,155,,Orthodox,1983-07-03 00:00:00,3.29,0.38,4.41,0.57,0.0,0.0,0.77,0.0
David,Abbott,10,15,0,0,Tank,72,265,,Switch,,1.35,0.3,3.55,0.38,1.07,0.33,0.66,0.0
Shamil,Abdurakhimov,20,5,0,0,Abrek,75,235,76,Orthodox,1981-09-02 00:00:00,2.45,0.44,2.45,0.58,1.23,0.24,0.47,0.2
Hiroyuki,Abe,8,15,3,1,Abe Ani,66,145,,Orthodox,,1.71,0.36,3.11,0.63,0.0,0.0,0.33,0.0
Daichi,Abe,6,2,0,0,,71,170,71,Orthodox,1991-11-27 00:00:00,3.8,0.33,4.49,0.56,0.33,0.5,0.0,0.0
Papy,Abedi,10,4,0,0,Makambo,71,185,,Southpaw,1978-06-30 00:00:00,2.8,0.55,3.15,0.48,3.47,0.57,0.5,1.3
Ricardo,Abreu,5,1,0,0,Demente,71,185,,Orthodox,1984-04-27 00:00:00,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7
Klidson,Abreu,15,5,0,0,White Bear,72,205,74,Orthodox,1992-12-24 00:00:00,2.05,0.4,2.9,0.55,0.64,0.2,0.8,0.0
Daniel,Acacio,30,18,0,0,,68,180,,Orthodox,1977-12-27 00:00:00,3.52,0.36,2.85,0.62,0.33,0.2,0.81,0.0
Scott,Adams,8,1,0,0,,72,225,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan,Adams,5,3,0,0,The Kraken,77,265,80,Orthodox,1992-01-16 00:00:00,7.09,0.55,4.06,0.34,0.91,0.66,0.57,0.0
Anthony,Adams,8,2,0,0,Sugafoot,73,185,76,Orthodox,1988-01-13 00:00:00,3.17,0.41,5.93,0.44,0.0,0.0,0.0,0.0
Zarrukh,Adashev,3,2,0,0,The Lion,65,125,65,Southpaw,1992-07-29 00:00:00,3.75,0.33,3.75,0.33,0.0,0.0,0.0,0.0
Israel,Adesanya,20,0,0,0,The Last Stylebender,76,185,80,Switch,1989-07-22 00:00:00,4.1,0.5,2.33,0.65,0.0,0.0,0.86,0.3
Sam,Adkins,7,20,2,0,The Experience,75,225,,Orthodox,1965-04-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick,Agallar,24,6,0,0,,68,155,,Orthodox,1979-01-13 00:00:00,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0
Mariya,Agapova,9,2,0,0,,66,125,68,Southpaw,1997-04-07 00:00:00,3.7,0.5,4.15,0.47,1.23,0.66,0.33,0.6
Marcelo,Aguiar,2,3,1,0,,70,170,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio,Aguiar,17,1,0,0,,72,185,,,1988-02-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edwin,Aguilar,26,19,0,1,Tigre,70,185,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessica,Aguilar,20,8,0,0,Jag,63,115,63,Orthodox,1982-05-08 00:00:00,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2
Kevin,Aguilar,17,4,0,0,Angel of Death,67,155,73,Orthodox,1988-09-07 00:00:00,3.69,0.37,4.47,0.53,0.19,0.25,0.87,0.0
Christian,Aguilera,14,7,0,0,The Beast,69,170,72,Switch,1991-11-25 00:00:00,3.35,0.41,4.89,0.46,0.0,0.0,0.0,0.0
Mike,Aina,14,6,1,1,Iron,69,155,,Orthodox,,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0
Hitomi,Akano,18,10,0,0,Girlfight Monster,64,135,,Southpaw,1974-07-27 00:00:00,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5
Omari,Akhmedov,20,5,1,0,Wolverine,72,185,73,Orthodox,1987-10-12 00:00:00,2.92,0.34,2.69,0.57,2.56,0.5,0.65,0.2
Yoshihiro,Akiyama,14,6,0,2,,70,170,75,Orthodox,1975-07-29 00:00:00,3.1,0.41,3.62,0.57,2.29,0.67,0.92,1.0
Rostem,Akman,6,2,0,0,,70,170,72,Switch,1991-12-19 00:00:00,1.8,0.25,3.97,0.57,1.0,0.4,0.87,0.0
Razak,Al-Hassan,13,5,0,0,,74,205,,Orthodox,1982-05-14 00:00:00,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0
Mostapha,Al-Turk,6,6,0,0,,74,245,77,Orthodox,1973-07-14 00:00:00,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0
Herdem,Alacabek,5,1,0,0,,74,205,75,Orthodox,1991-06-07 00:00:00,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0
Javi,Alanis,0,4,0,0,,66,135,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heili,Alateng,14,7,1,0,The Mongolian Knight,65,135,66,Orthodox,1991-12-14 00:00:00,2.77,0.37,5.1,0.57,3.5,0.35,1.0,0.0
Amir,Albazi,13,1,0,0,The Prince,65,125,68,Orthodox,1993-10-27 00:00:00,2.55,0.42,0.64,0.81,3.19,1.0,0.0,3.2
Brett,Albee,3,2,0,0,,,225,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John,Albert,6,5,0,0,Prince,68,135,68,Orthodox,1986-10-13 00:00:00,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1
Junior,Albini,14,6,0,0,Baby,75,264,74,Orthodox,1991-03-15 00:00:00,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0
Wes,Albritton,0,1,0,0,,70,188,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandra,Albu,3,2,0,0,Stitch,62,115,63,Orthodox,1990-07-14 00:00:00,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4
Israel,Albuquerque,0,3,0,0,,,185,,Orthodox,,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0
Juan,Alcain,1,2,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iuri,Alcantara,35,10,0,1,Marajo,69,135,71,Southpaw,1980-08-04 00:00:00,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8
Ildemar,Alcantara,21,11,0,0,Marajo,74,185,78,Orthodox,1982-11-18 00:00:00,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9
Alfonso,Alcarez,1,3,1,0,,63,145,,,1970-06-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilbert,Aldana,6,2,0,0,El Peligro,73,250,,Orthodox,1977-08-25 00:00:00,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0
Irene,Aldana,12,5,0,0,,69,135,68,Orthodox,1988-03-26 00:00:00,6.16,0.38,5.92,0.63,0.28,0.5,0.93,0.1
Hector,Aldana,4,3,0,0,,71,170,72,Orthodox,1988-08-17 00:00:00,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0
Jose,Aldo,28,7,0,0,,67,135,70,Orthodox,1986-09-09 00:00:00,3.48,0.44,3.55,0.62,0.6,0.61,0.9,0.1
JJ,Aldrich,8,4,0,0,,65,125,67,Southpaw,1992-09-29 00:00:00,3.88,0.4,4.68,0.62,0.31,0.25,0.53,0.0
Jim,Alers,13,3,0,1,The Beast,69,145,71,Orthodox,1986-10-14 00:00:00,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3
John,Alessio,35,17,0,2,The Natural,70,155,72,Orthodox,1979-07-05 00:00:00,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2
Houston,Alexander,17,15,1,2,The Assassin,72,205,72,Orthodox,1972-03-22 00:00:00,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0
Kenneth,Alexander,7,6,0,1,The Machine,69,155,,Orthodox,1977-09-25 00:00:00,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0
Marcio,Alexandre,17,4,0,0,Lyoto,72,185,75,Southpaw,1989-05-05 00:00:00,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7
Olaf,Alfonso,8,12,0,0,,74,170,,Orthodox,1974-08-06 00:00:00,1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7
Pablo,Alfonso,9,7,0,0,The Hurricane,68,145,,,1983-05-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levi,Alford,1,7,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill,Algeo,13,5,0,0,Senor Perfecto,72,145,73,Switch,1989-06-09 00:00:00,7.87,0.53,7.2,0.35,0.5,0.33,0.57,0.0
Royce,Alger,3,2,0,0,,70,199,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir,Aliakbari,10,1,0,0,,75,250,,,1984-06-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sultan,Aliev,15,3,0,0,,71,170,74,Orthodox,1984-09-17 00:00:00,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0
John,Allan,13,5,0,1,,75,205,75,Orthodox,1993-02-22 00:00:00,3.59,0.48,4.39,0.51,2.54,0.66,0.57,1.9
George,Allen,13,19,2,0,,74,205,,Open Stance,1967-01-13 00:00:00,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0
Arnold,Allen,16,1,0,0,Almighty,68,145,70,Southpaw,1994-01-22 00:00:00,3.19,0.41,2.0,0.67,1.36,0.52,0.76,0.5
Brendan,Allen,15,3,0,0,All In,74,185,75,Orthodox,1995-12-28 00:00:00,2.67,0.6,2.55,0.35,1.42,0.37,0.55,2.4
Ben,Alloway,18,8,0,0,Blanco,71,170,76,Orthodox,1981-02-19 00:00:00,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0
Ricardo,Almeida,13,5,0,0,Big Dog,72,170,74,Orthodox,1976-11-29 00:00:00,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2
Magno,Almeida,10,3,0,1,,72,155,,,1985-06-06 00:00:00,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0
Thomas,Almeida,22,3,0,0,Thominhas,67,145,70,Southpaw,1991-07-31 00:00:00,5.66,0.45,4.65,0.64,0.0,0.0,0.75,0.0
